Ref,Val,Package,PosX,PosY,Rot,Side
"C64","3.3nF","C_0402_1005Metric",53.350000,65.810000,-90.000000,top
"C65","10uF","C_0603_1608Metric",39.695207,50.727131,90.000000,top
"C66","27pF","C_0402_1005Metric",9.880000,29.490000,-90.000000,top
"C67","27pF","C_0402_1005Metric",11.990000,26.850000,180.000000,top
"C68","1uF","C_0402_1005Metric",35.954199,40.634800,-90.000000,top
"C69","100uF","C_1206_3216Metric",57.550000,62.650000,90.000000,top
"C71","0.1uF","C_0402_1005Metric",34.430199,40.634800,-90.000000,top
"C74","0.1uF","C_0402_1005Metric",6.379793,54.952869,90.000000,top
"C75","0.1uF","C_0402_1005Metric",34.836599,50.693200,90.000000,top
"C77","0.1uF","C_0402_1005Metric",29.750000,46.700000,180.000000,top
"C82","0.1uF","C_0402_1005Metric",42.550000,19.700000,-90.000000,top
"C83","0.1uF","C_0402_1005Metric",37.700000,24.070000,90.000000,top
"C86","10uF","C_0603_1608Metric",44.630000,19.790000,0.000000,top
"C87","10uF","C_0603_1608Metric",38.950000,23.500000,90.000000,top
"C89","0.1uF","C_0402_1005Metric",11.697200,41.730100,90.000000,top
"C90","0.1uF","C_0402_1005Metric",37.000000,42.100000,-90.000000,top
"C94","100uF","C_1206_3216Metric",56.275000,59.200000,180.000000,top
"C97","1uF","C_0402_1005Metric",13.678400,41.730100,90.000000,top
"C98","10uF","C_0603_1608Metric",48.360000,58.575000,-90.000000,top
"C99","10uF","C_0603_1608Metric",46.900000,58.575000,-90.000000,top
"C100","10uF","C_0603_1608Metric",30.850000,44.087200,-90.000000,top
"C101","22uF","C_0603_1608Metric",47.250000,41.000000,-90.000000,top
"C102","10uF","C_0603_1608Metric",39.995207,46.427131,90.000000,top
"C103","100uF","C_1210_3225Metric",44.550000,57.750000,-90.000000,top
"C104","10uF","C_0603_1608Metric",50.600000,61.580000,-90.000000,top
"C105","22uF","C_0603_1608Metric",45.769200,40.987200,-90.000000,top
"C108","10uF","C_0603_1608Metric",38.495207,46.452131,90.000000,top
"C109","10uF","C_0603_1608Metric",49.100000,61.580000,-90.000000,top
"C111","0.1uF","C_0402_1005Metric",12.713200,41.730100,90.000000,top
"C112","1uF","C_0402_1005Metric",14.643600,41.730100,90.000000,top
"C113","47uF","C_0805_2012Metric",49.000000,40.800000,-90.000000,top
"C114","10uF","C_0603_1608Metric",47.600000,61.580000,-90.000000,top
"C116","100uF","C_1206_3216Metric",51.200000,40.250000,-90.000000,top
"C117","0.1uF","C_0402_1005Metric",17.968400,38.834500,0.000000,top
"C118","100uF","C_1210_3225Metric",45.250000,62.400000,-90.000000,top
"C119","0.1uF","C_0402_1005Metric",13.717500,21.420000,-90.000000,top
"C120","0.1uF","C_0402_1005Metric",18.420000,35.100000,0.000000,top
"C122","100uF","C_1206_3216Metric",53.500000,40.250000,-90.000000,top
"C124","0.1uF","C_0402_1005Metric",8.470000,41.300000,90.000000,top
"C125","0.1uF","C_0402_1005Metric",15.608800,41.730100,90.000000,top
"C127","0.1uF","C_0402_1005Metric",28.200000,35.300000,90.000000,top
"C128","0.1uF","C_0402_1005Metric",22.200000,33.150000,180.000000,top
"C131","0.1uF","C_0402_1005Metric",71.020000,22.300000,0.000000,top
"C132","APXK160ARA101MF611","CAP-SMD_BD6.3-L6.6-W6.6-FD",20.670000,23.050000,180.000000,top
"C134","APXK160ARA101MF611","CAP-SMD_BD6.3-L6.6-W6.6-FD",55.630000,21.150000,180.000000,top
"C136","0.1uF","C_0402_1005Metric",69.470000,23.300000,0.000000,top
"D1","LED-YG","B12H1UYG-20D000134U1930",25.525000,69.290000,90.000000,top
"D2","LED-GREEN","B12H1UYG-20D000134U1930",30.358332,69.290000,90.000000,top
"D3","LED-Amber","B12H1UYG-20D000134U1930",27.941666,69.290000,90.000000,top
"D4","IN4448HLP","D_0402_1005Metric",59.700000,64.500000,0.000000,top
"D5","IN4448HLP","D_0402_1005Metric",53.750000,68.000000,90.000000,top
"D6","LED-RED","B12H1UYG-20D000134U1930",32.775000,69.290000,90.000000,top
"D7","D_Schottky","SD2114S040S8R0",42.845207,47.827131,90.000000,top
"D8","SMF13A","D_SOD-123F",49.200000,65.550000,180.000000,top
"D9","SMF13A","D_SOD-123F",44.000000,65.950000,180.000000,top
"D10","SMF13A","D_SOD-123F",39.250000,62.300000,90.000000,top
"D11","IN4448HLP","D_0402_1005Metric",76.600000,20.985000,90.000000,top
"D12","IN4448HLP","D_0402_1005Metric",77.000000,15.735000,-90.000000,top
"IC1","TPS22998RYZR","TPS22998RYZR",26.387000,58.475000,0.000000,top
"J3","USBC_Receptacle_SMD_RA","CON_USB3.1-C_RCPT_SMD_RA_ACP_12401610E4#2A",68.300000,65.150001,180.000000,top
"J4","Conn_01x02","THT_Pitch5mm_Drill1.2mm",47.100000,67.900000,0.000000,top
"J9","Conn_01x05","PinSocket_1x05_P2.54mm_Vertical",8.990000,67.730000,90.000000,top
"L1","1.5uH","NRS6028T1R5NMGJ",69.090000,32.780000,0.000000,top
"L2","0.47uH","Vishay-IHLP-2020BZ-FP_1.905x2.79-3D_2.0-0-0-MFG",27.074500,13.750000,180.000000,top
"L3","1.5uH","NRS6028T1R5NMGJ",54.052892,32.743169,-90.000000,top
"L5","0.47uH","Vishay-IHLP-2020BZ-FP_1.905x2.79-3D_2.0-0-0-MFG",41.195207,41.327131,0.000000,top
"Q1","Q_NMOS_GDS","SOT-23",50.191100,45.563400,180.000000,top
"Q2","AS2312","SOT-23",60.020000,55.987500,-90.000000,top
"Q3","YJL3416A","SOT-23",56.342500,54.450000,180.000000,top
"Q4","Q_NMOS_GDS","SOT-23",19.087500,58.550000,0.000000,top
"Q5","EFC8811R-TF","ON_Semiconductor-568AL-10_2013-O-MFG",23.795207,49.927131,-90.000000,top
"Q6","SN74AHC125RGYR","SN74AHC125RGYR",10.817500,22.650001,-90.000000,top
"Q7","AO3400A","SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR",74.150000,18.460000,90.000000,top
"R1","0","R_0805_2012Metric",52.150000,52.255000,-90.000000,top
"R2","0","R_0805_2012Metric",50.190000,52.262500,-90.000000,top
"R3","10","R_0402_1005Metric",32.700000,31.400000,90.000000,top
"R4","10","R_0402_1005Metric",31.450000,31.400000,90.000000,top
"R6","2.2k","R_0603_1608Metric",32.826961,33.850000,-90.000000,top
"R7","2.2k","R_0603_1608Metric",31.300000,33.819400,-90.000000,top
"R8","0","R_0603_1608Metric",55.720000,15.320000,-90.000000,top
"R9","0","R_0805_2012Metric",26.650000,55.150000,180.000000,top
"R10","0","R_0805_2012Metric",26.637500,53.225000,180.000000,top
"R11","0","R_0603_1608Metric",46.700000,45.300000,180.000000,top
"R12","0","R_0805_2012Metric",42.150000,52.398213,180.000000,top
"R13","0","R_0805_2012Metric",42.150000,54.350000,180.000000,top
"R14","0","R_0603_1608Metric",32.600000,39.600000,-90.000000,top
"R15","0","R_0603_1608Metric",29.400000,51.350000,180.000000,top
"R18","0","R_0603_1608Metric",54.130000,15.335000,90.000000,top
"R19","0","R_0805_2012Metric",35.020000,16.882500,90.000000,top
"R20","0","R_0805_2012Metric",46.596892,35.826169,-90.000000,top
"R21","0","R_0805_2012Metric",44.596892,35.821169,-90.000000,top
"R22","0","R_0603_1608Metric",35.200000,37.300000,90.000000,top
"R23","0","R_0603_1608Metric",71.400000,47.500000,180.000000,top
"R24","0","R_0805_2012Metric",52.430000,26.300000,180.000000,top
"R25","0","R_0805_2012Metric",52.430000,28.310000,180.000000,top
"R26","0","R_0603_1608Metric",34.350000,33.800000,90.000000,top
"R27","0","R_0603_1608Metric",49.270000,20.300000,-90.000000,top
"R28","0","R_0603_1608Metric",72.375000,37.260000,0.000000,top
